group_id,classification,risk,id,hos,system_id,thing_id,thing_token_present,has_real_data,last_seen,decision,confidence,reason
HOS149|S24,DUPLICATE_INACTIVE,LOW,HOS149-S24-01,HOS149,S24,9Jrh-kC6ucBalLPshXRrn4oCG4iTJJQfqGWt0wHuSsg,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS149|S24,DUPLICATE_INACTIVE,LOW,HOS149-S24-02,HOS149,S24,l76Aj26SNxyYv0_ysD-lgBZIWqessEGbbVmN4xU7Xv8,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS026|SIP,DUPLICATE_INACTIVE,LOW,HOS026-IPEX04-ID0200J23007500254,HOS026,SIP,BKiR7hga-EMbIogbBCXAQ8LYr32JQCVZfmhlgkU1mws,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS026|SIP,DUPLICATE_INACTIVE,LOW,HOS026-IPEX04-ID0200J23007500253,HOS026,SIP,IcvhXpYVptXbOBmMLaDLmkYbX74A7GeeUxPDXRx50Pg,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS064|SIP,DUPLICATE_INACTIVE,LOW,HOS064-IPEX04-ID0200J23007500236,HOS064,SIP,hF5vg1T6MHZ4QkF1Mxeh3CSmFyTMco-CPfFgErQR57c,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS064|SIP,DUPLICATE_INACTIVE,LOW,HOS064-IPEX04-ID0200J23007500247,HOS064,SIP,VUeWS8otqw030IbKbJ0EapYcmixSQT8rehJ0Xk705ZM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS065|SIP,DUPLICATE_INACTIVE,LOW,HOS065-IPEX04-ID0200J23007500358,HOS065,SIP,eeRiptqkm_J6Xg-UzTP4UFfMBgspEniVh_PiQmKG-Ps,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS065|SIP,DUPLICATE_INACTIVE,LOW,HOS065-IPEX04-ID0200J23007500245,HOS065,SIP,QQ79pAcqq8NjBs--cDTQDs2bHyaoAMF-Oeu6losP2Pg,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS057|SIP,DUPLICATE_INACTIVE,LOW,HOS057-IPEX04-ID0200J23007500393,HOS057,SIP,Txt_koyy08lcZNwt9I0gs_4oQvyCEL_0etJqJs1s_P4,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS057|SIP,DUPLICATE_INACTIVE,LOW,HOS057-IPEX04-ID0200J23007500332,HOS057,SIP,EMtXXvah_qDuvS9sC5FDZRqqhBp9YWK_84EGtbZnqlQ,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS033|SIP,DUPLICATE_INACTIVE,LOW,HOS033-IPEX04-02-ID0200J23007500344,HOS033,SIP,0x0QgJux5JmFihhWyCCVHGHO8hGcRxaJtNlbuhimG1c,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS033|SIP,DUPLICATE_INACTIVE,LOW,HOS033-IPEX04-01-ID0200J23007500345,HOS033,SIP,Uhx5ycj1NwOVKfDRjeQZkOrNr1Hb_qyjs9qAYjwgkmM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS030|SIP,DUPLICATE_INACTIVE,LOW,HOS030-IPEX04-ID0200J23007500262,HOS030,SIP,xocpA_7BEIbKo_c8G8YyObn8BsKZlNeZt-b2F9V7PRU,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS030|SIP,DUPLICATE_INACTIVE,LOW,HOS030-IPEX04-ID0200J23007500255,HOS030,SIP,a-48wLlMa5faO5ERXm8vvrTFDZT_V2imyRNChqXszYM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS035|SIP,DUPLICATE_INACTIVE,LOW,HOS035-IPEX04-ID0200J23007500328,HOS035,SIP,_lGAqx9fO09Hzp5iF4tdO-LUFkoH1Y6lDlKxinaFGrc,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS035|SIP,DUPLICATE_INACTIVE,LOW,HOS035-IPEX04-ID0200J23007500314,HOS035,SIP,L5uHIvyjB-XeGbMX5Ra_sLghHmnyry0zIcOUmUNRVT4,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS069|SIP,DUPLICATE_INACTIVE,LOW,HOS069-IPEX04-ID0200J23007500263,HOS069,SIP,ikEGY21Q6_io48SgaCasrzNm2DF8kTPPNLCVmS-BHYg,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS069|SIP,DUPLICATE_INACTIVE,LOW,HOS069-IPEX04-ID0200J23007500257,HOS069,SIP,N2hxr5B-4wODwUX1obyx3DQWKO8eviFGt_D_x9dscBM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
