sensor_id,thing_id,thing_token,hos,building_found,building_name,system_id,system_name,district_name,neighborhood,lat,lon,thing_status,resource_detected,last_timestamp,last_value,has_real_value,timestamp_status,days_since_last_data,active_status,issues,api_error
HOS044-S01-01,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,HOS044,True,HOS044 Esc. Gornal,S01,RUIDO,Distrito VI,El Gornal,41.35800213172508,2.117626512218669,VALID,noise,2026-06-20T15:21:15.641Z,44,True,OK,0.0,ACTIVE_24H,,
HOS044-S01-01,suj9PiI4JbekaYqNnsbjaQY2kR1TrCjFT1KOvxdOzPU,t0kyL490cWiXX1e4kfQyAnY9Ias4JGDk2heMNgqHL60,HOS044,True,HOS044 Esc. Gornal,S01,RUIDO,Distrito VI,El Gornal,41.35800213172508,2.117626512218669,VALID,,,,False,NOT_APPLICABLE,,NO_DATA,NO_DATA,
HOS136-S01-01 (T257517),XzMNdYAN5eNT1UNnkgGcoT6Zb1kO9QeLauwy9m-pon8,h4C7It4LeNY6j1bXTEJ6GxIdEWoQ91mlnryTQalX_no,HOS136,True,HOS136 Residencia Els Alps,S01,RUIDO,Distrito I,Sanfeliu,41.36258967284149,2.0954845257125845,VALID,,,,False,NOT_APPLICABLE,,NO_DATA,MISSING_COORDS; NO_DATA,
HOS505-S02-01 BET00230061,QmwnQuDypPIa1yMjbVA6CKsH0FVwcl7vwTV00dkowJQ,XjcjJsoAL1XQJTd4WC8a-EevmZrNyxOzd_cr4xm9Hq4,HOS505,True,HOS505,S02,CONTAMINACIÓN EXTERIOR,,,41.3752,2.10353,VALID,temperature,2026-06-20T15:18:17.633Z,33,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS511-S02-01 BET00230067,P1R0s3qUfWq5443HCWV-75b2vis7vpruWWOWvyr7ihA,0aYOB8tyUiVv9kp-dbf0BlwYySLIix5ktFwijitBUTo,HOS511,True,HOS511,S02,CONTAMINACIÓN EXTERIOR,,,41.366928,2.11251,VALID,temperature,2026-06-20T15:18:17.570Z,35,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS504-S02-01 BET00230059,G556UP-SDICJ0z-uUi77YJ8nkBQLIfS4JiskOjqASlc,QjSRND0hsE80omWKBbiDj2q4Q6_w9OKSH6MxecsWEL4,HOS504,True,HOS504,S02,CONTAMINACIÓN EXTERIOR,,,,,VALID,temperature,2026-06-20T15:18:17.556Z,32,True,OK,0.0,ACTIVE_24H,MISSING_COORDS; MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS521-S02-01 BET00230152,04G1c1BHHYT8ZfIZk3fdA1YTIhxYlkFNbYADI22DL3Q,Lab2t8tg-qftichzDUF4U_bskbcird9Rhmak34qwSqQ,HOS521,True,HOS521,S02,CONTAMINACIÓN EXTERIOR,,,41.36718,2.10235,VALID,temperature,2026-06-20T15:18:17.556Z,33,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS503-S02-01 BET00230058,r_4Rww_t5HWcFuobge3-V0XthVyfDKGJle_4-Ta6u3o,reRAX9E7vN7LMO9J-TEvuY5xV6ymPIlvBIMk6_paU7E,HOS503,True,HOS503,S02,CONTAMINACIÓN EXTERIOR,,,41.36689,2.118188,VALID,temperature,2026-06-20T15:18:17.486Z,35,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS103-S02-01 BET00230036,7j4-Kdha3KXwjMVsOaaiKU0AjokWHJ97J8FWxm9XbjU,OihkFg1iRxWcyA0xmoeSYKPai8G5wS_8Ac9tHsJipuA,HOS103,True,HOS103 CLD,S02,CONTAMINACIÓN EXTERIOR,Distrito III,Granvia Sud,41.34779542044428,2.1295932797792583,VALID,temperature,2026-06-20T15:18:17.472Z,34,True,OK,0.0,ACTIVE_24H,,
HOS515-S02-01 BET00230146,AQK8RQ0DtE9zlFRoIdswWl9sic8ORoRnqvPhbEDRv3s,fiJfShfWiNXIpsftSOQTpyKVeDoV-YwCnLgWi1eeWB8,HOS515,True,HOS515,S02,CONTAMINACIÓN EXTERIOR,,,41.35966,2.09923,VALID,temperature,2026-06-20T15:18:17.437Z,34,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS506-S02-01 BET00230062,_0TrX0h06wO2WDeo8mNhgL1Z3Fjm7aeAQz8SyD20EX0,Ies6FIco-XrucZ6lDb9dwcEMtjBTa5fb-h_wwZyseMQ,HOS506,True,HOS506,S02,CONTAMINACIÓN EXTERIOR,,,41.37478,2.11955,VALID,temperature,2026-06-20T15:18:17.267Z,34,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS024-S02-01-BET00230039,5ZNeqH6IoaRddPT_tGfAFrGPQ58Sd3kEohKXgDvw5oQ,L5Wx_uaEpgBCw1Bhc_5EKcuqzzEFsC32IyrBAfFfLCs,HOS024,True,HOS024 Torre Barrina,S02,CONTAMINACIÓN EXTERIOR,Distrito II,Collblanc,41.37545179029178,2.117481366194221,VALID,temperature,2026-06-20T15:18:17.267Z,44,True,OK,0.0,ACTIVE_24H,,
HOS102-S02-01 BET00230042,YwZ06s4-aeESCU3tFvYvA3N_Xl9VQQabwi7swBFUUw8,XmBWZedZSmPlQ_y9fX7v__3Vgjpk9MjKVHLIrZ36JKg,HOS102,True,HOS102 Hotel Hesperia Tower,S02,CONTAMINACIÓN EXTERIOR,Distrito VI,Bellvitge,41.346379614959794,2.108638468040945,VALID,temperature,2026-06-20T15:18:16.769Z,36,True,OK,0.0,ACTIVE_24H,,
HOS134-S02-01 BET00230041,qy61tETGeUS01qP-PWHe9jzIH9iJGFrfWeJFEfqrcww,g1IsSa3EuyYjLxjScHAkuwOEr4akw6OBG0DexqI9uw8,HOS134,True,HOS134 Iglesia de la Florida,S02,CONTAMINACIÓN EXTERIOR,Distrito IV,La Florida,41.37080774309496,2.1094923201990894,VALID,temperature,2026-06-20T15:18:16.476Z,35,True,OK,0.0,ACTIVE_24H,,
HOS105-S02-01 BET00230045,cPrSYjFUXGQS8C8bZybxmgUwtIZasLrxeTXRLCVjNyQ,hLVIskvW5PZ_QVkTkT1XDHRwr9Vc9gAnYHeNSv4Ro2o,HOS105,True,HOS105 Calzedonia,S02,CONTAMINACIÓN EXTERIOR,Distrito III,Granvia Sud,41.35897219392181,2.129535410370654,VALID,temperature,2026-06-20T15:18:16.351Z,38,True,OK,0.0,ACTIVE_24H,,
HOS137-S02-01 BET00230037,nsn-FjlsTl6YriQD3Io8zAl1S2h-0zKHFXzQU5LAglw,2wfEQxyp3Fx42SKL6uKXQxWjLXFxMmccvYVpdGgXQCE,HOS137,True,HOS137 C. A.Prytanis Hospitalet,S02,CONTAMINACIÓN EXTERIOR,Distrito III,Santa Eulàlia,41.36415236878068,2.1301074968772,VALID,temperature,2026-06-20T15:18:16.325Z,13,True,OK,0.0,ACTIVE_24H,,
