system_id,system_name,total_sensors,sampled,sensors_ok,sensors_err,resource_count,resources_detected
S14A,METEO,19,5,2,3,113,description; humidity_ext; humidity_ext_acum_d; humidity_ext_acum_h; humidity_ext_acum_w; humidity_ext_avg_d; humidity_ext_avg_h; humidity_ext_avg_w; humidity_int; humidity_int_acum_d; humidity_int_acum_h; humidity_int_acum_w; humidity_int_avg_d; humidity_int_avg_h; humidity_int_avg_w; pressure; pressure_acum_d; pressure_acum_h; pressure_acum_w; pressure_avg_d; pressure_avg_h; pressure_avg_w; rainfall; rainfall_acum_d; rainfall_acum_h; rainfall_acum_w; rainfall_avg_d; rainfall_avg_h; rainfall_avg_w; rainfall_d; rainfall_d_acum_d; rainfall_d_acum_h; rainfall_d_acum_w; rainfall_d_avg_d; rainfall_d_avg_h; rainfall_d_avg_w; rainfall_h; rainfall_h_acum_d; rainfall_h_acum_h; rainfall_h_acum_w; rainfall_h_avg_d; rainfall_h_avg_h; rainfall_h_avg_w; rainfall_m; rainfall_m_acum_d; rainfall_m_acum_h; rainfall_m_acum_w; rainfall_m_avg_d; rainfall_m_avg_h; rainfall_m_avg_w; rainfall_y; rainfall_y_acum_d; rainfall_y_acum_h; rainfall_y_acum_w; rainfall_y_avg_d; rainfall_y_avg_h; rainfall_y_avg_w; solar_rad; solar_rad_acum_d; solar_rad_acum_h; solar_rad_acum_w; solar_rad_avg_d; solar_rad_avg_h; solar_rad_avg_w; temperature_ext; temperature_ext_acum_d; temperature_ext_acum_h; temperature_ext_acum_w; temperature_ext_avg_d; temperature_ext_avg_h; temperature_ext_avg_w; temperature_int; temperature_int_acum_d; temperature_int_acum_h; temperature_int_acum_w; temperature_int_avg_d; temperature_int_avg_h; temperature_int_avg_w; uv_index; uv_index_acum_d; uv_index_acum_h; uv_index_acum_w; uv_index_avg_d; uv_index_avg_h; uv_index_avg_w; wind_chill; wind_chill_acum_d; wind_chill_acum_h; wind_chill_acum_w; wind_chill_avg_d; wind_chill_avg_h; wind_chill_avg_w; wind_dir; wind_dir_acum_d; wind_dir_acum_h; wind_dir_acum_w; wind_dir_avg_d; wind_dir_avg_h; wind_dir_avg_w; wind_speed; wind_speed_acum_d; wind_speed_acum_h; wind_speed_acum_w; wind_speed_avg_d; wind_speed_avg_h; wind_speed_avg_w; wind_speed_max; wind_speed_max_acum_d; wind_speed_max_acum_h; wind_speed_max_acum_w; wind_speed_max_avg_d; wind_speed_max_avg_h; wind_speed_max_avg_w
S14B,METEO SENSOR,11,5,0,5,0,
S15,PRESENCIA,31,5,0,5,0,
S17,AFORO,4,4,0,4,0,
S19,GAS,65,5,0,5,0,
S20,INUNDACION,61,5,0,5,0,
S21,DETECCION HUMOS,158,5,3,2,17,alert_fire; battery; description; keepalive; keepalive_acum_d; keepalive_acum_h; keepalive_acum_w; keepalive_avg_d; keepalive_avg_h; keepalive_avg_w; temperature; temperature_acum_d; temperature_acum_h; temperature_acum_w; temperature_avg_d; temperature_avg_h; temperature_avg_w
S22,TRANSPORTE PUBLICO,325,5,1,4,17,code_line_ferrocarril; description; destination_ferrocarril; group_ferrocarril; history_schedulesByLine_ferrocarril; name_ferrocarril; next_destino_ferrocarril; next_time_ferrocarril; next_time_ferrocarril_acum_d; next_time_ferrocarril_acum_h; next_time_ferrocarril_acum_w; next_time_ferrocarril_avg_d; next_time_ferrocarril_avg_h; next_time_ferrocarril_avg_w; payload; schedule_0_schedule_ferrocarril; schedule_1_schedule_ferrocarril
S23,PARKING,2,2,0,2,0,
S24,TRAFICO,6,5,1,4,59,Ambulance; Bicycle; Bus; Bus_acum_d; Bus_acum_h; Bus_acum_w; Bus_avg_d; Bus_avg_h; Bus_avg_w; Car; Car_acum_d; Car_acum_h; Car_acum_w; Car_avg_d; Car_avg_h; Car_avg_w; Motorbike; Other; SUV; SUV_acum_d; SUV_acum_h; SUV_acum_w; SUV_avg_d; SUV_avg_h; SUV_avg_w; Truck; Truck_acum_d; Truck_acum_h; Truck_acum_w; Truck_avg_d; Truck_avg_h; Truck_avg_w; Van; Van_acum_d; Van_acum_h; Van_acum_w; Van_avg_d; Van_avg_h; Van_avg_w; all; all_acum_d; all_acum_h; all_acum_w; all_avg_d; all_avg_h; all_avg_w; ctm_payload; description; direction; html_lpr; plate; plate_acum_d; plate_acum_h; plate_acum_w; plate_avg_d; plate_avg_h; plate_avg_w; vehicle_color; vehicle_type
SIP,IPS,139,5,1,4,3,connected; ctm_payload; description
