2026-06-13 09:42:07 | sensor | HOS136-S01-01 | system_id | S01 -> S01
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | neighborhood_key | None -> None
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | district_code | DISTRITO-1 -> DISTRITO-1
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | hos | HOS136 -> HOS136
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | ref_etra | 0 -> 0
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | lat | 41.3625896728415 -> 41.3625896728415
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | lon | 2.09548452571258 -> 2.09548452571258
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | thing_id | 0vgUY6Uk_xpk2B58U2FCT-8y21lR95k0Qn87rlRD6VA -> 0vgUY6Uk_xpk2B58U2FCT-8y21lR95k0Qn87rlRD6VA
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | thing_token | 8n5lCA8A0SuXPbkDDaM9vfdCaF0vJvBXKjz1yXT23D4 -> 8n5lCA8A0SuXPbkDDaM9vfdCaF0vJvBXKjz1yXT23D4
2026-06-13 09:42:07 | sensor | HOS136-S01-01 | observaciones | None -> None
